location,district,rooms,size,level,max_levels,price,psp
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,71.0,2,4,45000.0,633.8028169014085
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Uchtepa,4,90.0,3,5,66000.0,733.3333333333334
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Uchtepa,3,70.0,4,5,46500.0,664.2857142857143
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Uchtepa,3,72.0,8,9,42500.0,590.2777777777778
"город Ташкент, Чиланзарский район, Чиланзар квартал И",Chilonzor,3,64.0,5,9,51000.0,796.875
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Uchtepa,3,92.0,1,4,65000.0,706.5217391304348
"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Shayxontohur,2,59.0,2,9,51000.0,864.4067796610169
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,6,184.0,9,9,103000.0,559.7826086956521
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,3,68.0,4,4,38000.0,558.8235294117648
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,3,96.0,8,9,52500.0,546.875
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,3,68.0,2,4,47000.0,691.1764705882352
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Chilonzor,3,65.0,3,4,44000.0,676.9230769230769
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Chilonzor,3,70.0,5,9,55000.0,785.7142857142857
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Chilonzor,1,34.0,4,5,27500.0,808.8235294117648
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Chilonzor,1,34.0,1,4,30500.0,897.0588235294117
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Uchtepa,2,58.0,7,9,32000.0,551.7241379310345
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Uchtepa,3,75.0,5,5,48000.0,640.0
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Uchtepa,2,48.0,5,5,29800.0,620.8333333333334
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,3,67.0,2,4,49500.0,738.8059701492538
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,2,50.0,2,4,33999.0,679.98
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Chilonzor,3,140.0,4,5,175000.0,1250.0
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Chilonzor,2,47.0,4,4,32000.0,680.8510638297872
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Uchtepa,2,46.0,4,4,29500.0,641.304347826087
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Uchtepa,2,38.0,4,4,31000.0,815.7894736842105
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Chilonzor,2,47.0,4,4,32500.0,691.4893617021277
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,2,45.0,4,4,35500.0,788.8888888888889
"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Chilonzor,3,65.0,4,4,42000.0,646.1538461538462
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,1,43.0,3,4,43800.0,1018.6046511627907
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,2,42.0,3,4,35500.0,845.2380952380952
"город Ташкент, Учтепинский район, Такачи",Uchtepa,2,54.0,3,5,37000.0,685.1851851851852
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,2,60.0,5,9,63000.0,1050.0
"город Ташкент, Учтепинский район, Изза",Uchtepa,3,80.0,4,9,53000.0,662.5
"город Ташкент, Чиланзарский район, Кирк-Киз",Chilonzor,3,90.0,9,9,56000.0,622.2222222222222
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,4,80.0,3,4,75000.0,937.5
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,4,105.0,8,9,55000.0,523.8095238095239
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,3,91.0,4,9,47000.0,516.4835164835165
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,2,60.0,1,4,56000.0,933.3333333333334
"город Ташкент, Шайхантахурский район, Хадра",Shayxontohur,2,58.0,2,4,49000.0,844.8275862068965
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Mirzo-Ulugʻbek,2,53.0,5,5,37000.0,698.1132075471698
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,2,48.0,3,4,34500.0,718.75
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Uchtepa,2,54.0,3,5,39000.0,722.2222222222222
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Uchtepa,1,43.0,9,9,24500.0,569.7674418604652
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Uchtepa,4,84.0,4,4,60000.0,714.2857142857143
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Uchtepa,2,47.0,2,4,31500.0,670.2127659574468
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,2,50.0,2,4,30500.0,610.0
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Uchtepa,4,96.0,5,5,54000.0,562.5
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Chilonzor,4,130.0,6,9,75000.0,576.9230769230769
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Uchtepa,3,67.0,2,5,58000.0,865.6716417910447
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Uchtepa,3,92.0,4,4,55000.0,597.8260869565217
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Chilonzor,2,46.0,2,4,35000.0,760.8695652173913
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,2,43.0,2,4,32500.0,755.8139534883721
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,2,44.0,1,4,36000.0,818.1818181818181
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,1,30.0,4,4,27000.0,900.0
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,3,55.0,4,4,48500.0,881.8181818181819
"город Ташкент, Сергелийский район, Сергели-VIII",Sergeli,6,140.0,9,9,55000.0,392.85714285714283
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Uchtepa,4,80.0,3,5,71000.0,887.5
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Uchtepa,3,57.0,1,4,38500.0,675.438596491228
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Uchtepa,2,48.0,2,5,30500.0,635.4166666666666
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,3,72.0,1,4,62000.0,861.1111111111111
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,3,72.0,5,5,40000.0,555.5555555555555
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,2,47.0,2,4,32000.0,680.8510638297872
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Uchtepa,2,52.0,4,4,39000.0,750.0
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Uchtepa,2,48.0,2,4,35500.0,739.5833333333334
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Uchtepa,1,40.0,1,4,23500.0,587.5
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Uchtepa,1,34.0,4,4,24000.0,705.8823529411765
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,2,56.0,4,5,40000.0,714.2857142857143
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Chilonzor,3,73.0,1,4,45000.0,616.4383561643835
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Chilonzor,2,64.0,5,5,37000.0,578.125
"город Ташкент, Чиланзарский район, Чиланзар-20",Chilonzor,3,96.0,4,4,49000.0,510.4166666666667
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,3,68.0,2,4,43000.0,632.3529411764706
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,3,104.0,9,9,60000.0,576.9230769230769
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Uchtepa,3,72.0,3,5,58000.0,805.5555555555555
"город Ташкент, Чиланзарский район, Шарк",Chilonzor,2,58.0,4,4,32000.0,551.7241379310345
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,3,66.0,1,3,50500.0,765.1515151515151
"город Ташкент, Мирабадский район, Таллимаржон",Mirabad,3,68.0,4,5,43000.0,632.3529411764706
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Chilonzor,3,65.0,5,5,51000.0,784.6153846153846
"город Ташкент, Мирабадский район, Госпитальный",Mirabad,3,85.0,9,9,59800.0,703.5294117647059
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,2,47.0,1,4,36000.0,765.9574468085107
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,1,30.0,4,4,31000.0,1033.3333333333333
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,3,77.0,5,5,94000.0,1220.7792207792209
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,1,20.0,2,5,19000.0,950.0
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Chilonzor,2,52.0,1,4,39500.0,759.6153846153846
"город Ташкент, Учтепинский район, Зарафшанская",Uchtepa,4,112.0,1,3,90000.0,803.5714285714286
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,3,68.0,4,4,36000.0,529.4117647058823
"город Ташкент, Чиланзарский район, Богистон",Chilonzor,3,75.0,6,9,65000.0,866.6666666666666
"город Ташкент, Шайхантахурский район, Гульхани",Shayxontohur,1,34.0,4,4,26000.0,764.7058823529412
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Uchtepa,1,34.0,4,4,23500.0,691.1764705882352
"город Ташкент, Чиланзарский район, Наккашлык",Chilonzor,1,17.0,5,9,12000.0,705.8823529411765
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Uchtepa,1,22.0,4,4,15500.0,704.5454545454545
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,1,30.0,4,5,25000.0,833.3333333333334
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,6,135.0,3,9,100000.0,740.7407407407408
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Chilonzor,4,84.0,4,4,62000.0,738.0952380952381
"город Ташкент, Чиланзарский район, Наккашлык",Chilonzor,4,80.0,4,4,55000.0,687.5
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,3,70.0,3,9,42000.0,600.0
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Uchtepa,3,67.0,4,5,47000.0,701.4925373134329
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Uchtepa,3,68.0,2,4,45000.0,661.7647058823529
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,70.0,3,9,44000.0,628.5714285714286
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Chilonzor,2,50.0,4,4,34000.0,680.0
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,2,45.0,4,4,37000.0,822.2222222222222
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,4,100.0,9,9,48000.0,480.0
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,2,47.0,4,4,28500.0,606.3829787234042
"город Ташкент, Учтепинский район, Изза",Uchtepa,4,96.0,5,9,52500.0,546.875
"город Ташкент, Учтепинский район, 1-й проезд Изза",Uchtepa,4,100.0,8,9,50000.0,500.0
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,2,54.0,1,5,42000.0,777.7777777777778
"город Ташкент, Чиланзарский район, Алгоритм",Chilonzor,4,98.0,5,9,67000.0,683.6734693877551
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,4,95.0,9,9,49000.0,515.7894736842105
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,71.0,3,9,52000.0,732.3943661971831
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Uchtepa,4,90.0,3,5,62000.0,688.8888888888889
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,4,102.0,5,5,70000.0,686.2745098039215
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Chilonzor,3,65.0,4,4,47000.0,723.0769230769231
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,5,120.0,1,4,87000.0,725.0
"город Ташкент, Шайхантахурский район, Гульхани",Shayxontohur,4,94.0,1,9,92000.0,978.7234042553191
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,4,160.0,9,9,85000.0,531.25
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,3,63.0,1,4,68998.0,1095.2063492063492
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,2,48.0,5,5,27000.0,562.5
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,2,42.0,4,4,31000.0,738.0952380952381
"город Ташкент, Мирабадский район, Учувчилар",Mirabad,3,68.0,3,4,34000.0,500.0
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,1,35.0,1,4,41000.0,1171.4285714285713
"город Ташкент, Мирабадский район, Абдурауфа Фитрата",Mirabad,3,68.0,3,4,34000.0,500.0
"город Ташкент, Олмазорский район, Каракамыш-2/3",Olmazor,2,59.6,6,9,32000.0,536.9127516778524
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Chilonzor,3,65.0,3,4,47500.0,730.7692307692307
"город Ташкент, Яшнободский район, 1-й проезд Авиасозлар",Yashnobod,1,40.0,2,4,22999.0,574.975
"город Ташкент, Чиланзарский район, Арнасай",Chilonzor,1,27.0,3,3,19500.0,722.2222222222222
"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Бузбазар",Mirzo-Ulugʻbek,1,30.0,2,5,25200.0,840.0
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Mirzo-Ulugʻbek,4,96.0,1,5,88000.0,916.6666666666666
"город Ташкент, Шайхантахурский район, Жангох",Shayxontohur,5,140.0,7,9,95000.0,678.5714285714286
"город Ташкент, Яшнободский район, 1-й проезд Авиасозлар",Yashnobod,2,42.0,3,4,29600.0,704.7619047619048
"город Ташкент, Учтепинский район, Изза",Uchtepa,4,100.0,9,9,52000.0,520.0
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Yunusobod,4,125.0,8,8,150000.0,1200.0
"город Ташкент, Юнусабадский район, 1-й проезд Октепа",Yunusobod,1,38.0,5,5,23500.0,618.421052631579
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Mirzo-Ulugʻbek,3,78.27,4,9,50670.0,647.3744729781525
"город Ташкент, Мирабадский район, Фуркат",Mirabad,4,90.0,5,5,43500.0,483.3333333333333
"город Ташкент, Мирабадский район, Янгизамон",Mirabad,4,90.0,2,9,52000.0,577.7777777777778
"город Ташкент, Шайхантахурский район, Гульхани",Shayxontohur,3,54.0,3,4,40000.0,740.7407407407408
"город Ташкент, Юнусабадский район, Кашкар",Yunusobod,4,122.0,8,8,132000.0,1081.967213114754
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Chilonzor,3,78.0,5,9,58000.0,743.5897435897435
"город Ташкент, Мирабадский район, Янгизамон",Mirabad,3,75.0,2,9,46000.0,613.3333333333334
"город Ташкент, Юнусабадский район, Кашкар",Yunusobod,4,135.0,2,5,130000.0,962.9629629629629
"город Ташкент, Мирабадский район, Сайхун",Mirabad,4,90.0,4,9,55000.0,611.1111111111111
"город Ташкент, Чиланзарский район, Наккошлык",Chilonzor,3,75.0,4,4,49800.0,664.0
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Yunusobod,3,65.5,1,4,55000.0,839.6946564885496
"город Ташкент, Олмазорский район, 1-й проезд Нозимахоним",Olmazor,3,110.0,1,2,55000.0,500.0
"город Ташкент, Мирабадский район, Абдурауфа Фитрата",Mirabad,3,68.0,1,4,39500.0,580.8823529411765
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,1,32.0,3,4,27000.0,843.75
"город Ташкент, Мирабадский район, Фуркат",Mirabad,2,52.0,2,4,35500.0,682.6923076923077
"город Ташкент, Чиланзарский район, Парус гепермаркет",Chilonzor,2,65.0,4,9,45500.0,700.0
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Uchtepa,2,50.0,1,5,34500.0,690.0
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,1,28.0,4,4,23500.0,839.2857142857143
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Mirzo-Ulugʻbek,2,55.0,5,5,35000.0,636.3636363636364
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Mirzo-Ulugʻbek,2,50.0,5,5,35000.0,700.0
"город Ташкент, Мирабадский район, Улица Нукусская, магазин Гламур",Mirabad,3,130.0,9,12,90000.0,692.3076923076923
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,4,84.0,3,5,63000.0,750.0
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Mirzo-Ulugʻbek,2,42.0,2,5,33500.0,797.6190476190476
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Chilonzor,3,68.0,1,4,48000.0,705.8823529411765
"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Yunusobod,2,50.0,2,4,30500.0,610.0
"город Ташкент, Яккасарайский район, Бабура",Yakkasaroy,3,100.0,5,5,99000.0,990.0
"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Akay City",Mirzo-Ulugʻbek,3,83.0,5,8,110000.0,1325.301204819277
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Uchtepa,4,105.0,1,4,82000.0,780.952380952381
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Mirzo-Ulugʻbek,4,80.0,2,4,70000.0,875.0
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,2,42.0,4,4,28500.0,678.5714285714286
"город Ташкент, Шайхантахурский район, 1-й проезд Козиробод",Shayxontohur,3,103.0,2,8,63000.0,611.6504854368932
"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Yunusobod,5,110.0,9,9,58000.0,527.2727272727273
"город Ташкент, Шайхантахурский район, 1-й проезд Аль-Хорезми",Shayxontohur,3,90.0,1,5,105000.0,1166.6666666666667
"город Ташкент, Чиланзарский район, Чиланзар-6",Chilonzor,2,65.0,1,5,43000.0,661.5384615384615
"город Ташкент, Сергелийский район, 1-й проезд 3-й улицы Обод",Sergeli,2,56.0,3,7,32643.407231798545,582.9179862821169
"город Ташкент, Яккасарайский район, Шота Руставели",Yakkasaroy,2,58.0,3,5,57500.0,991.3793103448276
"город Ташкент, Мирзо-Улугбекский район, Салом",Mirzo-Ulugʻbek,2,62.0,8,9,51498.0,830.6129032258065
"город Ташкент, Яшнободский район, Махтумкули",Yashnobod,2,62.0,2,7,53000.0,854.8387096774194
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Mirzo-Ulugʻbek,2,57.0,3,5,36000.0,631.578947368421
"город Ташкент, Яккасарайский район, Бабура",Yakkasaroy,1,42.0,2,5,36000.0,857.1428571428571
"город Ташкент, Мирзо-Улугбекский район, Лашкарлар",Mirzo-Ulugʻbek,2,65.0,6,12,53500.0,823.0769230769231
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Mirzo-Ulugʻbek,2,48.36,4,9,31307.0,647.3738626964433
"город Ташкент, Мирзо-Улугбекский район, Асака",Mirzo-Ulugʻbek,4,157.0,5,9,204100.0,1300.0
"город Ташкент, Чиланзарский район, Улица волгоградская",Chilonzor,1,30.0,3,4,23000.0,766.6666666666666
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,3,67.0,3,4,39000.0,582.0895522388059
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Uchtepa,3,68.0,6,9,41500.0,610.2941176470588
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Uchtepa,2,41.0,5,5,36000.0,878.0487804878048
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,4,138.0,2,4,95000.0,688.4057971014493
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,3,72.0,3,4,48000.0,666.6666666666666
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,2,70.0,1,4,78000.0,1114.2857142857142
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,2,50.0,1,4,50000.0,1000.0
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Uchtepa,3,77.0,4,4,47000.0,610.3896103896104
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Uchtepa,4,116.0,2,9,105000.0,905.1724137931035
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Uchtepa,3,100.0,3,4,71000.0,710.0
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Uchtepa,2,70.0,1,4,49500.0,707.1428571428571
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Uchtepa,2,50.0,4,4,37000.0,740.0
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,3,65.0,1,5,47000.0,723.0769230769231
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Chilonzor,2,41.0,4,4,31000.0,756.0975609756098
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Mirzo-Ulugʻbek,4,86.0,4,4,47000.0,546.5116279069767
"город Ташкент, Мирзо-Улугбекский район, Дархан",Mirzo-Ulugʻbek,2,62.0,4,12,53000.0,854.8387096774194
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Mirzo-Ulugʻbek,3,76.0,2,5,48000.0,631.578947368421
"город Ташкент, Мирзо-Улугбекский район, Карасу-1",Mirzo-Ulugʻbek,2,62.0,2,5,38000.0,612.9032258064516
"город Ташкент, Мирзо-Улугбекский район, Карасу-2",Mirzo-Ulugʻbek,3,73.0,4,5,41500.0,568.4931506849315
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,2,48.0,5,5,31000.0,645.8333333333334
"город Ташкент, Чиланзарский район, площадь Актепа",Chilonzor,2,52.0,4,5,37000.0,711.5384615384615
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,4,80.0,1,4,80000.0,1000.0
"город Ташкент, Чиланзарский район, Чиланзар-Ц",Chilonzor,2,45.0,2,5,43500.0,966.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,2,50.0,3,5,36000.0,720.0
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,2,47.0,2,5,39500.0,840.4255319148937
"город Ташкент, Чиланзарский район, Чиланзар квартал И",Chilonzor,4,100.0,1,4,100000.0,1000.0
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Chilonzor,2,54.0,5,5,36000.0,666.6666666666666
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Uchtepa,1,38.0,3,5,26500.0,697.3684210526316
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Uchtepa,4,78.0,2,4,52000.0,666.6666666666666
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Uchtepa,3,72.0,5,5,47500.0,659.7222222222222
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Uchtepa,4,80.0,2,5,55500.0,693.75
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,2,58.0,5,5,32000.0,551.7241379310345
"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Chilonzor,4,72.0,5,5,51000.0,708.3333333333334
"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Chilonzor,3,110.0,4,4,78500.0,713.6363636363636
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Chilonzor,3,70.0,2,4,41000.0,585.7142857142857
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,3,57.0,4,4,55000.0,964.9122807017544
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Chilonzor,3,70.0,2,4,47500.0,678.5714285714286
"город Ташкент, Чиланзарский район, Наккашлык",Chilonzor,4,78.0,4,4,57000.0,730.7692307692307
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,2,49.0,1,4,46000.0,938.7755102040817
"город Ташкент, Чиланзарский район, Алмазар",Chilonzor,3,93.0,5,9,83500.0,897.8494623655914
"город Ташкент, Чиланзарский район, Алмазар",Chilonzor,5,160.0,6,9,90000.0,562.5
"город Ташкент, Чиланзарский район, Шарк",Chilonzor,3,92.0,7,9,52500.0,570.6521739130435
"город Ташкент, Чиланзарский район, Шарк",Chilonzor,3,75.0,1,9,46000.0,613.3333333333334
"город Ташкент, Чиланзарский район, Аль-Хорезми-1",Chilonzor,4,105.0,8,9,50000.0,476.1904761904762
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,75.0,3,4,51000.0,680.0
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,2,55.0,4,4,38000.0,690.9090909090909
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,4,102.0,5,12,53000.0,519.6078431372549
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,5,92.0,5,5,50000.0,543.4782608695652
"город Ташкент, Яккасарайский район, Шота Руставели",Yakkasaroy,2,63.0,6,8,41000.0,650.7936507936508
"город Ташкент, Юнусабадский район, ц-5 Киёт (Ц-5) ",Yunusobod,3,67.0,4,4,70000.0,1044.7761194029852
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,68.0,5,9,40500.0,595.5882352941177
"город Ташкент, Чиланзарский район, Чиланзар-10",Chilonzor,2,50.0,3,5,36000.0,720.0
"город Ташкент, Чиланзарский район, Чиланзар-10",Chilonzor,2,50.0,2,5,34500.0,690.0
"город Ташкент, Чиланзарский район, Чиланзар-8",Chilonzor,2,54.0,2,5,36000.0,666.6666666666666
"город Ташкент, Юнусабадский район, Ахмад Даниш",Yunusobod,3,78.0,5,9,65000.0,833.3333333333334
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,2,50.0,3,5,35500.0,710.0
"город Ташкент, Чиланзарский район, Чиланзар-9",Chilonzor,2,54.0,2,5,36000.0,666.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,4,110.0,3,4,105000.0,954.5454545454545
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,3,82.0,3,9,63500.0,774.390243902439
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Chilonzor,3,84.0,5,5,55000.0,654.7619047619048
"город Ташкент, Учтепинский район, Чиланзар-24",Uchtepa,2,42.0,4,5,31500.0,750.0
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Uchtepa,4,78.0,3,4,53500.0,685.8974358974359
"город Ташкент, Чиланзарский район, Чиланзар 18-й квартал",Chilonzor,3,65.0,2,5,48000.0,738.4615384615385
"город Ташкент, Чиланзарский район, Чиланзар 18-й квартал",Chilonzor,2,46.0,1,5,34500.0,750.0
